5.97706839875971e-12,8.61723441900478e-12,1.23713586075559e-11,1.78867773546103e-11,2.63725358553261e-11,4.00915536200632e-11,6.32032629255268e-11,1.03132391947459e-10,1.72668390296114e-10,2.92982620174251e-10,4.97643730634446e-10,8.37470766101575e-10,1.38566467699491e-09,2.24213233386164e-09,3.53538115689392e-09,5.42003830067234e-09,8.06823314871469e-09,1.16540636543602e-08,1.63322879117103e-08,2.22150890022599e-08,2.93537087664307e-08,3.77340236935114e-08,4.72956487472294e-08,5.79819363900319e-08,6.98228066485621e-08,8.30439919715461e-08,9.8186214124408e-08,1.16208112872617e-07,1.38540166995642e-07,1.6705639202764e-07,2.03938839311575e-07,2.51427979233166e-07,3.11478384618641e-07,3.85368615045408e-07,4.73338312200138e-07,5.74334294438504e-07,6.85933281217323e-07,8.0447095118264e-07,9.25354123079699e-07,1.04348232455315e-06,1.15367706836246e-06,1.25102584642826e-06,1.33109301374782e-06,1.39001437927567e-06,1.42454818373033e-06,1.43217495184513e-06,1.41130972001192e-06,1.36162196142033e-06,1.28438043128108e-06,1.18268839754874e-06,1.0614757366581e-06,9.27172108728323e-07,7.87079228092313e-07,6.48554192895681e-07,5.18174697944788e-07,4.0106087898963e-07,3.00479851160122e-07,2.17778880410594e-07,1.52610919823629e-07,1.0335723950768e-07,6.76289081846665e-08,4.27404624171404e-08,2.60833684291137e-08,1.53683270933706e-08
1.29343409255814e-11,1.85270218177326e-11,2.63382896231127e-11,3.75419072468498e-11,5.42946285761338e-11,8.05938712867565e-11,1.23741896056564e-10,1.96717834088808e-10,3.2180798387774e-10,5.35814708962934e-10,8.96980779496048e-10,1.49335169252215e-09,2.45161171921129e-09,3.94452133762764e-09,6.19415619828307e-09,9.46757901736618e-09,1.40618734213123e-08,2.02771234687499e-08,2.83791740486247e-08,3.85585900173712e-08,5.08972143263371e-08,6.53575606976829e-08,8.18111224287295e-08,1.00117937665518e-07,1.20260673547771e-07,1.42522649403783e-07,1.67682704649163e-07,1.97184122606733e-07,2.33224430095489e-07,2.78712571809683e-07,3.37053663394906e-07,4.11750832396435e-07,5.05855918660637e-07,6.21347797114268e-07,7.58555308770764e-07,9.15755569604872e-07,1.08905582588483e-06,1.27260671586666e-06,1.45911054387173e-06,1.64050727016428e-06,1.80867520327214e-06,1.9559952684355e-06,2.07569751526689e-06,2.16201019224207e-06,2.21022134964671e-06,2.21679771785374e-06,2.17966487912381e-06,2.09865030712509e-06,1.97597111696441e-06,1.81656706836881e-06,1.62807763272596e-06,1.42034672977217e-06,1.20447931807798e-06,9.91616011401126e-07,7.91681585041667e-07,6.12370094789891e-07,4.58556481981346e-07,3.32203832877161e-07,2.32711326663365e-07,1.57558718160577e-07,1.03068488468375e-07,6.51243807642535e-08,3.9736984165663e-08,2.34098302129648e-08
2.74772900904317e-11,3.91392016189544e-11,5.51720917663308e-11,7.76722499095801e-11,1.10423284060171e-10,1.60363922964059e-10,2.4008604023621e-10,3.71869403726593e-10,5.93841413094564e-10,9.68798973167481e-10,1.5959203630697e-09,2.62489628628286e-09,4.27084975555818e-09,6.82687865588706e-09,1.06694808838455e-08,1.62511444074343e-08,2.40748547653395e-08,3.46480115593985e-08,4.84186508424721e-08,6.57044909156432e-08,8.66335920731787e-08,1.1112176739138e-07,1.38913256776527e-07,1.69704983033294e-07,2.03359804601452e-07,2.4019163855697e-07,2.81278705276651e-07,3.28736193327654e-07,3.85863541779841e-07,4.5708170903265e-07,5.47598184348178e-07,6.62784204650982e-07,8.07315217708362e-07,9.84199100548091e-07,1.19387603687262e-06,1.4335951012476e-06,1.69723711731752e-06,1.97565923421558e-06,2.25750508771306e-06,2.53029744875419e-06,2.78155713837463e-06,2.99970772698044e-06,3.17463141037123e-06,3.29789833004025e-06,3.36283256964539e-06,3.36463718029871e-06,3.30074505000858e-06,3.17141157284471e-06,2.98038500714057e-06,2.73536510975927e-06,2.44795290318425e-06,2.13291613572421e-06,1.80680133892449e-06,1.48613370144323e-06,1.18558000644293e-06,9.16461539753533e-07,6.85897177451935e-07,4.96678740711381e-07,3.47797052214767e-07,2.35405019511897e-07,1.53952653768939e-07,9.72550873157896e-08,5.93318016453808e-08,3.49485217585854e-08
5.72901468672468e-11,8.12125508957119e-11,1.13647501276918e-10,1.58282228009575e-10,2.21643472611429e-10,3.15564722717911e-10,4.61371454542684e-10,6.96618402067685e-10,1.08534604160136e-09,1.73273829551066e-09,2.80455251473228e-09,4.55053781026806e-09,7.32913825281628e-09,1.16282301696612e-08,1.80740233913307e-08,2.74186098217637e-08,4.04973710074538e-08,5.81519090940678e-08,8.1122990656988e-08,1.09930439597038e-07,1.44770409860325e-07,1.85470789083227e-07,2.3154768589852e-07,2.82395887897175e-07,3.37622139514495e-07,3.97494020310196e-07,4.63435028798497e-07,5.38457496510403e-07,6.27400477603977e-07,7.36841118379099e-07,8.74583929347623e-07,1.04870549808213e-06,1.2662351460776e-06,1.53166471975597e-06,1.84557117139438e-06,2.20366726417357e-06,2.5965409601164e-06,3.01019986513499e-06,3.42733556087074e-06,3.82902736484125e-06,4.19649067377782e-06,4.5124951614019e-06,4.76223579699075e-06,4.93367717083086e-06,5.01760890630008e-06,5.00774742852978e-06,4.90114603593995e-06,4.69895748216751e-06,4.40732759971492e-06,4.03800900931277e-06,3.60826472803308e-06,3.13980212705144e-06,2.65677431936373e-06,2.183191378803e-06,1.74028020620354e-06,1.34435116584628e-06,1.00557666584432e-06,7.27829395342766e-07,5.09461717388746e-07,3.4471595894844e-07,2.25380687941837e-07,1.42346164899264e-07,8.68244155457589e-08,5.11350222842731e-08
1.17215592314413e-10,1.65464857639367e-10,2.30089254964866e-10,3.17474942742205e-10,4.38689727717695e-10,6.13557040903736e-10,8.77543273579433e-10,1.29280347309252e-09,1.96494226604578e-09,3.06690758994111e-09,4.87060772112011e-09,7.78497070702434e-09,1.23960497735682e-08,1.9500635032974e-08,3.01205564822157e-08,4.54821450342542e-08,6.69464238582531e-08,9.5882710664057e-08,1.33492461694598e-07,1.8061015532607e-07,2.37529636974733e-07,3.03920839368204e-07,3.78905264957989e-07,4.61342556136455e-07,5.5034239233349e-07,6.4595923649027e-07,7.49961785076062e-07,8.66509135343768e-07,1.00252916192486e-06,1.1675983876535e-06,1.37317923701281e-06,1.63118299309423e-06,1.95198311929489e-06,2.34217319353875e-06,2.802498770609e-06,3.32643883059814e-06,3.89982930932903e-06,4.50170440034856e-06,5.10622850280152e-06,5.68529726447852e-06,6.21121113208811e-06,6.65884954203195e-06,7.00700451416777e-06,7.23888528212052e-06,7.34213391557773e-06,7.3088481559668e-06,7.13601426034423e-06,6.82644461157843e-06,6.38993026011367e-06,5.84403739830549e-06,5.2139372350105e-06,4.53089235025079e-06,3.82944022093644e-06,3.14374904235977e-06,2.50390327558656e-06,1.93290751812765e-06,1.44498274512983e-06,1.04536446730511e-06,7.31434274500437e-07,4.94743479916608e-07,3.23381334406711e-07,2.04194619105141e-07,1.24525461159066e-07,7.33275803765674e-08
2.35304243568131e-10,3.30942178201699e-10,4.57669917821179e-10,6.26375069932733e-10,8.55500804017725e-10,1.17765533163169e-09,1.65074689387548e-09,2.3757678534721e-09,3.52368027837578e-09,5.37363188174241e-09,8.36341959041901e-09,1.31501467775784e-08,2.06740631085214e-08,3.22119674329946e-08,4.9399709909979e-08,7.41989295478585e-08,1.08784806493505e-07,1.55342751078918e-07,2.15784232647338e-07,2.91423412491989e-07,3.82690285620383e-07,4.88981937367398e-07,6.08758918367298e-07,7.39968579617787e-07,8.80817921624714e-07,1.03083086387984e-06,1.1920243368125e-06,1.36994730955454e-06,1.57427338770825e-06,1.81864595091544e-06,2.11956241895687e-06,2.49425408662182e-06,2.95775106286862e-06,3.51957228701655e-06,4.18067828297891e-06,4.93139048562354e-06,5.7508568039244e-06,6.60832306236809e-06,7.46602366350847e-06,8.28306970050319e-06,9.01945067935547e-06,9.63929505012793e-06,1.01128659698911e-05,1.04172831338855e-05,1.05364477859526e-05,1.046089183488e-05,1.01881576609085e-05,9.7238880210005e-06,9.08325918768517e-06,8.29198109883444e-06,7.38601503839228e-06,6.4094714952777e-06,5.41072661851435e-06,4.43740156641118e-06,3.53124702871602e-06,2.72402428859839e-06,2.03517972907799e-06,1.47160426069527e-06,1.02924307687164e-06,6.95940959988711e-07,4.54760128124034e-07,2.87083494487775e-07,1.75039728260076e-07,1.03056565067824e-07
4.63410802012895e-10,6.49644914932602e-10,8.94093670209552e-10,1.21502074008548e-09,1.64261072460604e-09,2.22950676461045e-09,3.06850173473069e-09,4.32066425244509e-09,6.25767746279708e-09,9.32181634008468e-09,1.42049523002176e-08,2.19433523397723e-08,3.40173094473041e-08,5.2434305453085e-08,7.97636607520648e-08,1.1908364052076e-07,1.73804375534758e-07,2.47347104397055e-07,3.42694696987165e-07,4.61877108803612e-07,6.05508060928405e-07,7.72529219254371e-07,9.60326414554622e-07,1.1653437408032e-06,1.38423069285546e-06,1.61542438105086e-06,1.8609176473898e-06,2.1278299907283e-06,2.42932133298761e-06,2.78440493623972e-06,3.21634900984793e-06,3.74960865822711e-06,4.40557111992193e-06,5.19776020061915e-06,6.12742946529544e-06,7.18056594323261e-06,8.32714377185986e-06,9.52300346380714e-06,1.07140872140279e-05,1.18421303024341e-05,1.28505246609543e-05,1.36891029800548e-05,1.43170589037587e-05,1.47039547271839e-05,1.48294740130604e-05,1.46829472483028e-05,1.42635452242998e-05,1.35814540810246e-05,1.26595845551136e-05,1.1534783168525e-05,1.02573865074751e-05,8.88836646656601e-06,7.49409170814756e-06,6.13955883952715e-06,4.88149715596219e-06,3.76282627510568e-06,2.80955065066084e-06,2.03048856097644e-06,1.41951600860653e-06,9.59486660038288e-07,6.26786201149794e-07,3.95583220774322e-07,2.41144563022519e-07,1.41952640658961e-07
8.95279862765267e-10,1.25143781989684e-09,1.71502429918312e-09,2.31616652434633e-09,3.10334843805935e-09,4.15992424887704e-09,5.63174958361216e-09,7.7708890739232e-09,1.10010876929334e-08,1.60101477540453e-08,2.3871256447858e-08,3.61882687054207e-08,5.52481368073281e-08,8.41478298038852e-08,1.26846534800115e-07,1.88083055513394e-07,2.73101713619764e-07,3.87155966029916e-07,5.34811264848176e-07,7.19142698346594e-07,9.4100294080852e-07,1.19859668942883e-06,1.48761025126454e-06,1.80208648639746e-06,2.13609905009246e-06,2.4860811377823e-06,2.85344026148417e-06,3.2468952975648e-06,3.68386353973182e-06,4.19025496494345e-06,4.79822992847702e-06,5.54184422111232e-06,6.45099626597808e-06,7.54460753162068e-06,8.82436630962168e-06,1.02704902375808e-05,1.18406996568372e-05,1.34729341336766e-05,1.50914292022294e-05,1.66148750944747e-05,1.79648285292401e-05,1.90725821288185e-05,1.98833432107555e-05,2.03576066577375e-05,2.0470611387935e-05,2.0211319669537e-05,1.95822118385884e-05,1.86004149149188e-05,1.72996421551316e-05,1.57316008293884e-05,1.39653180800156e-05,1.2083351199486e-05,1.01748764400713e-05,8.32676033681446e-06,6.614464096158e-06,5.09474495968943e-06,3.80159935233005e-06,2.74597973899909e-06,1.91885927552088e-06,1.29652320346659e-06,8.46694037589492e-07,5.3423640751582e-07,3.25597342004351e-07,1.91633247403338e-07
1.69660659315106e-09,2.36536608265588e-09,3.22937824384519e-09,4.33747863908755e-09,5.76602654200741e-09,7.6443482260549e-09,1.01971784413869e-08,1.38114247957114e-08,1.91356125075638e-08,2.72195361355605e-08,3.96970368063345e-08,5.90043251124295e-08,8.86085849012679e-08,1.33197770914127e-07,1.98757512064866e-07,2.92444414641066e-07,4.2216974773308e-07,5.95845907735478e-07,8.20326054184567e-07,1.10017780756561e-06,1.43655130738125e-06,1.8264923673459e-06,2.26307005333554e-06,2.7366013178506e-06,3.23705411933086e-06,3.75741880968213e-06,4.29751224866939e-06,4.86739905602735e-06,5.48946399717235e-06,6.19821998470406e-06,7.03722821563433e-06,8.05303405677911e-06,9.28671575634407e-06,1.07643640361993e-05,1.24883611340764e-05,1.44314936262249e-05,1.65355594571119e-05,1.87152079944783e-05,2.08664781704889e-05,2.28782530656318e-05,2.46440761251956e-05,2.60718055596969e-05,2.70894641092073e-05,2.764706424157e-05,2.7715590834973e-05,2.72851190287085e-05,2.63638964439227e-05,2.49792073287448e-05,2.31794381220454e-05,2.10356364222599e-05,1.86405299306212e-05,1.61036104154763e-05,1.35422183013681e-05,1.10700214111929e-05,8.78527497155386e-06,6.76141634915688e-06,5.04188153453085e-06,3.63984142901459e-06,2.54230265296428e-06,1.7171057124511e-06,1.12099583841922e-06,7.07123599113995e-07,4.30870628703924e-07,2.53546632299053e-07
3.153654273964e-09,4.38633781977452e-09,5.96832991365799e-09,7.9773521419448e-09,1.05311766648848e-08,1.38261802910141e-08,1.82014863794108e-08,2.42392597112478e-08,3.29131253852957e-08,4.57954355861279e-08,6.53274016500929e-08,9.51407911584595e-08,1.40393963895658e-07,2.08049926135215e-07,3.06987043776935e-07,4.47808140473902e-07,6.42220003440886e-07,9.01911209709391e-07,1.23697035593473e-06,1.65404880622725e-06,2.15464720440335e-06,2.73403755942006e-06,3.38136000992337e-06,4.08130713735336e-06,4.81751675831734e-06,5.5773734027558e-06,6.35745338600643e-06,7.16845339943319e-06,8.03823770108865e-06,9.01172171129771e-06,1.01467308634891e-05,1.15057161856635e-05,1.31441707031856e-05,1.50975792637231e-05,1.73694791234941e-05,1.99234222152815e-05,2.26811078457221e-05,2.55276904354372e-05,2.83235275614987e-05,3.09199313167417e-05,3.31754231321299e-05,3.49690167198306e-05,3.6208230898582e-05,3.68314574913736e-05,3.68062271997265e-05,3.61260409480371e-05,3.48083025721752e-05,3.2894592176896e-05,3.04526774506973e-05,2.75781385646628e-05,2.43929905924836e-05,2.10394547674014e-05,1.76687165152489e-05,1.44263856857829e-05,1.14376717878967e-05,8.79552567706697e-06,6.55416278247817e-06,4.72886660984218e-06,3.30136453825534e-06,2.22889563335133e-06,1.4546292159062e-06,9.17325869112301e-07,5.58824833211936e-07,3.28779279992576e-07
